date,state,npa_plz,longitude,latitude,total_healthy,total_sick_guess_no_corona,total_sick_guess_corona,total_sick_corona_confirmed,total_recovered_confirmed,total_recovered_not_confirmed
2020-04-05,Stockholm,16250,59.3644,17.8741,0,0,0,0,0,0
2020-04-05,Stockholm,16251,59.3644,17.8741,0,0,0,0,0,0
2020-04-05,Stockholm,16252,59.3644,17.8741,0,0,0,0,0,0
2020-04-05,Stockholm,16253,59.3644,17.8741,1,0,0,0,0,0
2020-04-05,Stockholm,16254,59.3644,17.8741,0,0,0,0,0,0
2020-04-05,Stockholm,16255,59.3644,17.8741,0,0,0,0,0,0
2020-04-05,Stockholm,16256,59.3644,17.8741,0,0,0,0,0,0
2020-04-05,Stockholm,16257,59.3644,17.8741,0,0,0,0,0,0
2020-04-05,Stockholm,16258,59.3644,17.8741,0,0,0,0,0,0
2020-04-05,Stockholm,16260,59.3644,17.8741,0,0,0,0,0,0
2020-04-05,Stockholm,16261,59.3644,17.8741,0,0,0,0,0,0
2020-04-05,Stockholm,16262,59.3644,17.8741,0,0,0,0,0,0
2020-04-05,Stockholm,16263,59.3644,17.8741,0,0,0,0,0,0
2020-04-05,Stockholm,16264,59.3644,17.8741,0,0,0,0,0,0
2020-04-05,Stockholm,16265,59.3644,17.8741,0,0,0,0,0,0
2020-04-05,Stockholm,16266,59.3644,17.8741,0,0,0,0,0,0
2020-04-05,Stockholm,16267,59.3644,17.8741,0,0,0,0,0,0
2020-04-05,Stockholm,16268,59.3644,17.8741,0,0,0,0,0,0
2020-04-05,Stockholm,16270,59.3644,17.8741,0,0,0,0,0,0
2020-04-05,Stockholm,16271,59.3644,17.8741,0,0,0,0,0,0
2020-04-05,Stockholm,16272,59.3644,17.8741,0,0,0,0,0,0
2020-04-05,Stockholm,16283,59.3644,17.8741,0,0,0,0,0,0
2020-04-05,Stockholm,16287,59.3326,18.0649,0,0,0,0,0,0
2020-04-05,Stockholm,16288,59.3644,17.8741,0,0,0,0,0,0
2020-04-05,Stockholm,16289,59.3326,18.0649,0,0,0,0,0,0
2020-04-05,Stockholm,16300,59.3833,17.9167,0,0,0,0,0,0
2020-04-05,Stockholm,16303,59.3833,17.9167,0,0,0,0,0,0
2020-04-05,Stockholm,16304,59.3833,17.9167,0,0,0,0,0,0
2020-04-05,Stockholm,16305,59.3833,17.9167,0,0,0,0,0,0
2020-04-05,Stockholm,16308,59.3833,17.9167,0,0,0,0,0,0
2020-04-05,Stockholm,16310,59.3833,17.9167,0,0,0,0,0,0
2020-04-05,Stockholm,16320,59.3833,17.9167,0,0,0,0,0,0
2020-04-05,Stockholm,16321,59.3833,17.9167,0,0,0,0,0,0
2020-04-05,Stockholm,16329,59.3833,17.9167,0,0,0,0,0,0
2020-04-05,Stockholm,16340,59.3833,17.9167,0,0,0,0,0,0
2020-04-05,Stockholm,16341,59.3833,17.9167,0,0,0,0,0,0
2020-04-05,Stockholm,16342,59.3833,17.9167,0,0,0,0,0,0
2020-04-05,Stockholm,16343,59.3833,17.9167,1,0,0,0,0,0
2020-04-05,Stockholm,16344,59.3833,17.9167,0,0,0,0,0,0
2020-04-05,Stockholm,16345,59.3833,17.9167,0,0,0,0,0,0
2020-04-05,Stockholm,16346,59.3833,17.9167,0,0,0,0,0,0
2020-04-05,Stockholm,16347,59.3833,17.9167,0,0,0,0,0,0
2020-04-05,Stockholm,16350,59.3833,17.9167,0,0,0,0,0,0
2020-04-05,Stockholm,16351,59.3833,17.9167,0,0,0,0,0,0
2020-04-05,Stockholm,16352,59.3833,17.9167,0,0,0,0,0,0
2020-04-05,Stockholm,16353,59.3833,17.9167,0,0,0,0,0,0
2020-04-05,Stockholm,16354,59.3833,17.9167,0,0,0,0,0,0
2020-04-05,Stockholm,16355,59.3833,17.9167,0,0,0,0,0,0
2020-04-05,Stockholm,16356,59.3833,17.9167,0,0,0,0,0,0
2020-04-05,Stockholm,16361,59.3833,17.9167,0,0,0,0,0,0
2020-04-05,Stockholm,16362,59.3833,17.9167,0,0,0,0,0,0
2020-04-05,Stockholm,16363,59.3833,17.9167,0,0,0,0,0,0
2020-04-05,Stockholm,16364,59.3833,17.9167,2,0,0,0,0,0
2020-04-05,Stockholm,16365,59.3833,17.9167,1,0,0,0,0,0
2020-04-05,Stockholm,16366,59.3833,17.9167,0,0,0,0,0,0
2020-04-05,Stockholm,16367,59.3833,17.9167,0,0,0,0,0,0
2020-04-05,Stockholm,16368,59.3833,17.9167,0,0,0,0,0,0
2020-04-05,Stockholm,16370,59.3833,17.9167,0,0,0,0,0,0
2020-04-05,Stockholm,16371,59.3833,17.9167,0,0,0,0,0,0
2020-04-05,Stockholm,16372,59.3833,17.9167,0,0,0,0,0,0
2020-04-05,Stockholm,16373,59.3833,17.9167,0,0,0,0,0,0
2020-04-05,Stockholm,16374,59.3833,17.9167,0,0,0,0,0,0
2020-04-05,Stockholm,16375,59.3833,17.9167,0,0,0,0,0,0
2020-04-05,Stockholm,16380,59.3833,17.9167,0,0,0,0,0,0
2020-04-05,Stockholm,16385,59.3833,17.9167,0,0,0,0,0,0
2020-04-05,Stockholm,16388,59.3833,17.9167,0,0,0,0,0,0
2020-04-05,Stockholm,16389,59.3833,17.9167,0,0,0,0,0,0
2020-04-05,Stockholm,16391,59.3833,17.9167,0,0,0,0,0,0
2020-04-05,Stockholm,16394,59.3326,18.0649,0,0,0,0,0,0
2020-04-05,Stockholm,16400,59.4032,17.9448,0,0,0,0,0,0
2020-04-05,Stockholm,16406,59.4032,17.9448,0,0,0,0,0,0
2020-04-05,Stockholm,16407,59.4032,17.9448,0,0,0,0,0,0
2020-04-05,Stockholm,16419,59.4032,17.9448,0,0,0,0,0,0
2020-04-05,Stockholm,16420,59.4032,17.9448,0,0,0,0,0,0
2020-04-05,Stockholm,16421,59.4032,17.9448,0,0,0,0,0,0
2020-04-05,Stockholm,16422,59.4032,17.9448,0,0,0,0,0,0
2020-04-05,Stockholm,16423,59.4032,17.9448,0,0,0,0,0,0
2020-04-05,Stockholm,16424,59.4032,17.9448,0,0,0,0,0,0
2020-04-05,Stockholm,16425,59.4032,17.9448,0,0,0,0,0,0
2020-04-05,Stockholm,16426,59.4032,17.9448,0,0,0,0,0,0
2020-04-05,Stockholm,16428,59.4032,17.9448,0,0,0,0,0,0
2020-04-05,Stockholm,16429,59.4032,17.9448,0,0,0,0,0,0
2020-04-05,Stockholm,16430,59.4032,17.9448,0,0,0,0,0,0
2020-04-05,Stockholm,16431,59.4032,17.9448,0,0,0,0,0,0
